id,prov,name,votes,cpc,ndp,lpc,bq,gpc,other
24041,24,Longueuil--Charles-LeMoyne,47420,4996,21545,6317,13419,1142,0
24042,24,Lévis--Lotbinière,56344,22469,21688,2867,8383,936,0
24043,24,Longueuil--Saint-Hubert,52654,4601,26335,5313,15162,1155,87
24044,24,Louis-Hébert,60436,13195,23359,8109,14636,996,143
24045,24,Louis-Saint-Laurent,56614,21278,22576,3607,8127,852,175
24046,24,Manicouagan,38717,4502,18458,2131,12654,973,0
24047,24,Mégantic--L'Érable,45420,22321,11930,2712,7542,667,250
24048,24,Mirabel,47484,4381,23526,3681,14728,958,212
24049,24,Montarville,52163,5010,23227,6524,15167,1278,959
24050,24,Montcalm,44754,3555,23228,2203,14071,1696,0
24051,24,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,47545,17276,17285,2743,9550,691,0
24052,24,Mount Royal,39006,13891,6963,16151,1136,683,183
24053,24,Notre-Dame-de-Grâce--Westmount,44638,7879,15648,17072,1817,1955,271
24054,24,Outremont,41879,3344,23319,9056,4859,936,361
24055,24,Papineau,45892,2313,13526,17407,11419,866,356
24056,24,Pierrefonds--Dollard,48025,12901,16390,14632,2392,1710,0
24057,24,Pontiac,50369,13191,23810,7646,4808,824,87
24058,24,Portneuf--Jacques-Cartier,52468,0,22387,3463,10745,1279,14594
24059,24,Québec,52518,9330,22394,4735,14685,1144,228
24060,24,Repentigny,58264,4342,30339,4614,17962,1007,0
24061,24,Richmond--Arthabaska,53303,13145,17316,3711,18033,1098,0
24062,24,Rivière-des-Mille-Îles,52441,5399,25757,5819,14223,1242,0
24063,24,Rivière-du-Nord,47696,4022,26291,3078,13450,857,0
24064,24,Rosemont--La Petite-Patrie,54128,2338,27643,4951,17731,906,558
24065,24,Marc-Aurèle-Fortin,47272,4904,23156,6545,11471,1106,90
24066,24,Saint-Hyacinthe--Bagot,51500,8108,26963,2784,12651,994,0
24067,24,Saint-Jean,52539,5603,24943,4644,16023,1326,0
24068,24,Saint-Laurent,32467,6207,9437,13914,2088,680,140
24069,24,Saint-Léonard--Saint-Michel,37235,5074,12026,15702,3591,658,178
24070,24,Saint-Maurice--Champlain,55176,9452,22777,6031,15712,1120,89
24071,24,Salaberry--Suroît,54009,6850,23546,4394,18227,991,0
24072,24,Shefford,53982,7908,27577,4856,12617,1022,0
24073,24,Sherbrooke,52870,4866,22981,5182,18691,925,228
